Year,Month,Day,Hour,Minute,Total Wind Output (kW)
2012,1,23,17,0,161278.5
2012,1,23,18,0,161278.5
2012,1,23,19,0,151944.5
2012,1,23,20,0,161278.5
2012,1,23,21,0,161278.5
2012,1,23,22,0,161278.5
2012,1,23,23,0,132464.3
2012,1,24,0,0,48656.8
2012,1,24,1,0,35832.5
2012,1,24,2,0,39419
2012,1,24,3,0,38444.52
2012,1,24,4,0,22989.19
2012,1,24,5,0,80257.6
2012,1,24,6,0,97125.3
2012,1,24,7,0,101127.7
2012,1,24,8,0,91494.4
2012,1,24,9,0,45603.9
2012,1,24,10,0,64662.2
2012,1,24,11,0,125099.9
2012,1,24,12,0,106039.7
2012,1,24,13,0,119687.6
2012,1,24,14,0,161278.5
2012,1,24,15,0,150601.9
2012,1,24,16,0,144890.2
2012,1,24,17,0,145196.2
2012,1,24,18,0,156029
2012,1,24,19,0,102066.6
2012,1,24,20,0,158945.5
2012,1,24,21,0,161278.5
2012,1,24,22,0,161278.5
2012,1,24,23,0,161278.5
2012,1,25,0,0,161278.5
2012,1,25,1,0,161278.5
2012,1,25,2,0,161278.5
2012,1,25,3,0,161278.5
2012,1,25,4,0,161278.5
2012,1,25,5,0,161278.5
2012,1,25,6,0,161278.5
2012,1,25,7,0,161278.5
2012,1,25,8,0,161278.5
2012,1,25,9,0,161278.5
2012,1,25,10,0,161278.5
2012,1,25,11,0,161278.5
2012,1,25,12,0,161278.5
2012,1,25,13,0,161278.5
2012,1,25,14,0,161278.5
2012,1,25,15,0,161278.5
2012,1,25,16,0,161278.5
2012,1,25,17,0,161278.5
2012,1,25,18,0,161278.5
2012,1,25,19,0,161278.5
2012,1,25,20,0,161278.5
2012,1,25,21,0,161278.5
2012,1,25,22,0,161278.5
2012,1,25,23,0,161278.5
2012,1,26,0,0,160483.5
2012,1,26,1,0,157905.5
2012,1,26,2,0,128434.7
2012,1,26,3,0,105534.7
2012,1,26,4,0,86383.3
2012,1,26,5,0,79446.9
2012,1,26,6,0,58555.7
2012,1,26,7,0,53550.4
2012,1,26,8,0,34650.7
2012,1,26,9,0,24257.46
2012,1,26,10,0,13320.59
2012,1,26,11,0,6041.34
2012,1,26,12,0,2531.086
2012,1,26,13,0,0
2012,1,26,14,0,1511.27
2012,1,26,15,0,21120.01
2012,1,26,16,0,67812.1
2012,1,26,17,0,46246.4
2012,1,26,18,0,135253.3
2012,1,26,19,0,104259.92
2012,1,26,20,0,51583.7
2012,1,26,21,0,161278.5
2012,1,26,22,0,81751.3
2012,1,26,23,0,62186.8
2012,1,27,0,0,59244.9
2012,1,27,1,0,56919.1
2012,1,27,2,0,48340.54
2012,1,27,3,0,30654
2012,1,27,4,0,2119.03
2012,1,27,5,0,36808.6
2012,1,27,6,0,86642.4
2012,1,27,7,0,115775.3
2012,1,27,8,0,108671.3
2012,1,27,9,0,154447.5
2012,1,27,10,0,161278.5
2012,1,27,11,0,161278.5
2012,1,27,12,0,161278.5
2012,1,27,13,0,161278.5
2012,1,27,14,0,161278.5
2012,1,27,15,0,161278.5
2012,1,27,16,0,161278.5
2012,1,27,17,0,161278.5
2012,1,27,18,0,161278.5
2012,1,27,19,0,161278.5
2012,1,27,20,0,161278.5
2012,1,27,21,0,161278.5
2012,1,27,22,0,161278.5
2012,1,27,23,0,139544
2012,1,28,0,0,161278.5
2012,1,28,1,0,160590.5
2012,1,28,2,0,161278.5
2012,1,28,3,0,82788.5
2012,1,28,4,0,137934
